Sensor;Navn;Dato;Breddegrad;Længdegrad;Temperatur°C;LuftfugtighedRH%;CO2 ppm;VOC ppb;Lydniveau dB;Min;Max;Lysniveau lux;Lys farve K;Optaget;Batteri mV;Dækning dB
53e1e;S.11 GBG. E236;01.08.2024 00:12;55.69486733920517;12.551568746566774;25,0;53,0;445;872;42;41;43;0;0;0;2937;-82
53e1e;S.11 GBG. E236;01.08.2024 00:27;55.69486733920517;12.551568746566774;25,0;53,0;447;886;42;41;43;0;0;0;2937;-82
53e1e;S.11 GBG. E236;01.08.2024 00:42;55.69486733920517;12.551568746566774;25,0;53,0;423;892;42;41;43;0;0;0;2937;-82
53e1e;S.11 GBG. E236;01.08.2024 00:57;55.69486733920517;12.551568746566774;25,0;53,0;414;895;41;41;42;0;0;0;2937;-82
53e1e;S.11 GBG. E236;01.08.2024 01:12;55.69486733920517;12.551568746566774;25,0;53,0;469;890;41;41;43;0;0;0;2937;-82
53e1e;S.11 GBG. E236;01.08.2024 01:27;55.69486733920517;12.551568746566774;25,0;53,0;423;900;41;41;43;0;0;0;2937;-82
53e1e;S.11 GBG. E236;01.08.2024 01:42;55.69486733920517;12.551568746566774;24,9;53,0;419;889;41;41;43;0;0;0;2937;-82
53e1e;S.11 GBG. E236;01.08.2024 01:57;55.69486733920517;12.551568746566774;24,9;53,1;415;879;41;40;43;0;0;0;2937;-82
53e1e;S.11 GBG. E236;01.08.2024 02:12;55.69486733920517;12.551568746566774;24,9;53,0;429;874;41;41;43;0;0;0;2937;-82
53e1e;S.11 GBG. E236;01.08.2024 02:27;55.69486733920517;12.551568746566774;24,9;53,0;428;888;41;41;43;0;0;0;2937;-82
53e1e;S.11 GBG. E236;01.08.2024 02:42;55.69486733920517;12.551568746566774;24,9;53,0;445;869;42;40;43;0;0;0;2937;-82
53e1e;S.11 GBG. E236;01.08.2024 02:57;55.69486733920517;12.551568746566774;24,9;53,0;429;878;42;41;43;0;0;0;2937;-82
53e1e;S.11 GBG. E236;01.08.2024 03:12;55.69486733920517;12.551568746566774;24,9;53,0;452;877;41;41;43;0;0;0;2937;-82
53e1e;S.11 GBG. E236;01.08.2024 03:27;55.69486733920517;12.551568746566774;24,9;53,0;447;881;41;41;43;0;0;0;2937;-82
53e1e;S.11 GBG. E236;01.08.2024 03:42;55.69486733920517;12.551568746566774;24,9;53,0;431;869;41;41;42;0;0;0;2937;-82
53e1e;S.11 GBG. E236;01.08.2024 03:57;55.69486733920517;12.551568746566774;24,9;53,0;430;867;41;41;43;0;0;0;2937;-82
53e1e;S.11 GBG. E236;01.08.2024 04:12;55.69486733920517;12.551568746566774;24,9;53,0;438;856;41;41;43;0;0;0;2937;-82
53e1e;S.11 GBG. E236;01.08.2024 04:27;55.69486733920517;12.551568746566774;24,9;53,0;404;880;41;41;42;0;0;0;2937;-82
53e1e;S.11 GBG. E236;01.08.2024 04:42;55.69486733920517;12.551568746566774;24,9;53,0;433;867;41;41;42;0;0;0;2937;-82
53e1e;S.11 GBG. E236;01.08.2024 04:57;55.69486733920517;12.551568746566774;24,8;53,0;431;876;41;41;43;0;0;0;2937;-82
53e1e;S.11 GBG. E236;01.08.2024 05:12;55.69486733920517;12.551568746566774;24,8;53,0;426;861;41;41;42;0;0;0;2937;-82
